post_id,title,category,score,num_comments,author,collected_at
47756497,'Has the Rust programming language's popularity reached its plateau?',technology,6,0,MilnerRoute,2026-04-14 16:50:08
47685739,Revision Demoparty 2026: Razor1911 [video],technology,384,133,tetrisgm,2026-04-14 16:50:09
47753437,Nordics and Estonia rolling out offline card payment backup in case internet cut (2025),technology,20,2,_____k,2026-04-14 16:50:11
47686431,C++: Freestanding Standard Library,technology,45,10,ingve,2026-04-14 16:50:13
47703123,How Pizza Tycoon simulated traffic on a 25 MHz CPU,technology,303,62,FinnKuhn,2026-04-14 16:50:16
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",technology,215,147,eigenspace,2026-04-14 16:50:17
47750931,DuckLake v1.0,technology,19,1,henrikhorluck,2026-04-14 16:50:19
47700388,Help Keep Thunderbird Alive,technology,577,390,playfultones,2026-04-14 16:50:26
47738520,Put your SSH keys in your TPM chip,technology,6,0,type0,2026-04-14 16:50:27
47741557,How Beyond Meat sank from a $14B plant-based protein powerhouse to a penny stock,technology,30,26,bookofjoe,2026-04-14 16:50:29
47708041,PicoZ80 – Drop-In Z80 Replacement,technology,225,34,rickcarlino,2026-04-14 16:50:30
47751619,2025 Tesla Cybertruck: Regular Car Reviews [video],technology,15,2,Topfi,2026-04-14 16:50:35
47714573,Artemis II and the invisible hazard on the way to the Moon,technology,86,67,zeristor,2026-04-14 16:50:36
47717447,Travel writing's biggest myth (and why everyone is lying),technology,23,1,speckx,2026-04-14 16:50:37
47748036,"X Randomly Banning Users for ""Inauthentic Behavior""",technology,87,88,crmrc114,2026-04-14 16:50:38
47710149,Microsoft is employing dark patterns to goad users into paying for storage?,technology,393,244,jpmitchell,2026-04-14 16:50:40
47726784,Bringing Rust to the Pixel Baseband,technology,26,2,el_duderino,2026-04-14 16:50:44
47719975,Bluesky April 2026 Outage Post-Mortem,technology,139,78,jcalabro,2026-04-14 16:50:45
47734856,Aero and Y2K Webring,technology,8,0,jack-bodine,2026-04-14 16:50:46
47684514,Protect your shed,technology,317,84,baely,2026-04-14 16:50:48
47743878,The Moon Just Got a New Scar,technology,18,1,johnbarron,2026-04-14 16:50:49
47736331,TigerBeetle: A Trillion Transactions [video],technology,10,3,adityaathalye,2026-04-14 16:50:51
47710907,Many African families spend fortunes burying their dead,technology,217,217,powera,2026-04-14 16:50:54
47683376,JSIR: A High-Level IR for JavaScript,technology,84,32,nnx,2026-04-14 16:50:59
47690609,Deterministic Primality Testing for Limited Bit Width,technology,35,4,ibobev,2026-04-14 16:51:02
47700662,Today Is CSS Naked Day,technology,41,4,edent,2026-04-14 16:51:05
47703065,Session is shutting down in 90 days,technology,148,181,balamatom,2026-04-14 16:51:17
47733265,Windows Defender Is Being Used to Hack Windows,technology,16,3,weaksauce,2026-04-14 16:51:19
47733229,The Center Has a Bias,technology,14,5,yomismoaqui,2026-04-14 16:51:24
47736298,US appeals court declares 158-year-old home distilling ban unconstitutional,technology,243,296,Jimmc414,2026-04-14 16:51:29
47713584,Afrika Bambaataa has died,technology,185,65,mellosouls,2026-04-14 16:51:39
47687464,Mario and Earendil,technology,68,40,doppp,2026-04-14 16:51:44
47756930,"Brazil's top labor inspector fired for adding China's BYD to 'dirty list,'",technology,12,0,tartoran,2026-04-14 16:51:46
47735121,The oldest known evidence of stitched clothing,technology,5,1,breve,2026-04-14 16:51:48
47737899,Linux kernel doesn't care about your disk health,technology,7,0,khazit,2026-04-14 16:51:51
47690405,A security scanner as fast as a linter – written in Rust,technology,53,21,peaktwilight,2026-04-14 16:51:56
